Password,Upper_case_chars,Lower_case_chars,Special_chars,Digits
mK*XZ9(kLc.,4,3,3,1
AEk]a3*BoF@j,4,4,3,1
jCLGx4%X+LoU~T,7,3,3,1
ZU&x8a]BC4,4,2,2,2
2Se.JNwC.u/2#,4,3,4,2
B9%+gOTdDx^,4,3,3,1
o_C^Y6EFwb#PT(,6,3,4,1
g_4YDcHV+X,5,2,2,1
n2fT#L+SZpq,4,4,2,1
p.HGFF%l0jp+,4,4,3,1
Em!f.U2LGG3kLV,7,3,2,2
Dn+@cHEL7xNlML,7,4,2,1
US#tI7bS*dGXW6,7,3,2,2
A1SwYK!t+f,4,3,2,1
R6E.nJQ%umvT,5,4,2,1
MQI^&2IeuHr,5,3,2,1
"wSS%D0Wf,Zz@!",5,3,4,1
5Kh?kWX!L4da$,4,4,3,2
QYXM]n-w8P8,5,2,2,2
NXU#3I*ibZtdz,5,5,2,1
U5XeHa#G^,4,2,2,1
Xm3W+qEP^nu@$M,5,4,4,1
SzK2_BgX~mNnp,5,5,2,1
E1*KCk+jDU1,5,2,2,2
B^%bHRp8N10o,4,3,2,3
u@+Q5fECPNar)*,5,4,4,1
JZC_tAu)1r,4,3,2,1
1G-Sl&eSW,4,2,2,1
t7WAG!Jo*h,4,3,2,1
0Asf@FEZ&,4,2,2,1
VsMQz!W1+cc?P,5,4,3,1
CtqF(]5TBZ@aIn,6,4,3,1
s8U@X@XkJI,5,2,2,1
G]CmP_g1D,4,2,2,1
V~sBOYm3^1niuE,5,5,2,2
hWEIn@&4Miy,4,4,2,1
JA*wZo~P01?b,4,3,3,2
x?XRL0]bSXp+,5,3,3,1
W.T1dYe+X,4,2,2,1
sAqRM/&T4R,5,2,2,1
SbY4~+rDZVLta,6,4,2,1
P(rLqW*W2,4,2,2,1
C%BY4r]ojTGPN],7,3,3,1
s5~JE]PNpCJPe,7,3,2,1
D*ClA&aE7y!j#,4,4,4,1
hRQ(Kp%P58W,5,2,2,2
aBY1^YHk?wZp!,5,4,3,1
8gW(Rc+WJC,5,2,2,1
oNGZ^^Jm7z,4,3,2,1
d6LpO()HXTxNF,7,3,2,1
